"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RN7SL120P",0,NA,NA,NA,NA,NA
"LOC107986059",0.309731994998868,0.635921060011475,2.1226903946565,0.2995825776629,0.764495575136286,NA
"RPSAP32",0.179135755701837,0.903056941282908,3.02618800583873,0.298414024356897,0.765387186525783,NA
"LOC124909337",0.542362245304179,0.40909654124232,1.81365062316536,0.225565241737863,0.821539577198334,NA
"RPS8P6",0.186844602533313,0.903056941282908,3.02618800583873,0.298414024356897,0.765387186525784,NA
"RNU6-1194P",0,NA,NA,NA,NA,NA
"CHL1-AS2",0.830626261103953,0.481006030349587,1.10654846859016,0.43469043065274,0.663787145282968,NA
"LOC124909336",0,NA,NA,NA,NA,NA
"LOC107986057",0.0972767246823949,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"LOC107986040",0.0360960996432139,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"LOC105376921",0,NA,NA,NA,NA,NA
"LINC01986",0.0726831348947578,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"RPL23AP88",0.429330572368067,0.0484716951987394,1.42159253568112,0.0340967569694755,0.972799994546478,NA
"LOC124908032",0,NA,NA,NA,NA,NA
"MIR3133",0.559593435531639,0.0831653244204403,1.20393789841172,0.069077752706477,0.944927729487987,NA
"LOC105373971",0.655932132411637,-1.23274187474772,1.2881469115391,-0.956988573046233,0.338573022655421,NA
"AQP12A",0,NA,NA,NA,NA,NA
"LOC285191",0.291631302782413,0.614521896727249,3.02618800583873,0.203067983727908,0.839081895629316,NA
"AQP12B",0.193739760358043,-0.83340175845584,2.29832715469567,-0.362612327297762,0.71689450033173,NA
"LOC100420500",0.0525182765297898,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"LOC124908016",0.0806099188544275,0.32598553096623,3.02618800583873,0.107721506508278,0.91421660905544,NA
"MIR149",0,NA,NA,NA,NA,NA
"LOC124906196",0.0454310237855869,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"LOC107985836",0.10503655305958,0.903056941282908,3.02618800583873,0.298414024356897,0.765387186525784,NA
"OTOS",0.510350590541848,0.86932660595233,1.4142216077155,0.61470324113957,0.538750718979128,NA
"OR5S1P",0.476780702298842,-1.04279628554042,1.38703785751372,-0.751815301861794,0.452162138591794,NA
"OR9S24P",0.691421506595841,-2.11044283649606,1.35805238516514,-1.55402167070266,0.120179247547043,NA
"OR6B2",0.312855207732796,-0.802546588604632,1.81495972500067,-0.442184241087959,0.658355888749172,NA
"LOC105373966",0.241320295331351,0.3259927100259,2.18750427672211,0.149024947514337,0.881533947500981,NA
"LINC02991",0.19455021290345,1.21530414749433,2.76013998506607,0.440305257729615,0.65971603322752,NA
"LOC124908012",0,NA,NA,NA,NA,NA
"LOC124908011",0.0979493003153767,0.903056941282907,3.02618800583873,0.298414024356897,0.765387186525784,NA
"MIR2467",0.337717199497453,0.668853022928965,1.60672354014093,0.416283826195948,0.677202326283132,NA
"MIR4269",0.640021015571148,0.0331859540048794,1.17104699450117,0.0283387038784174,0.977392011754661,NA
"MIR4441",0.258490952116154,0.336111493545207,2.21862839095916,0.151495173736553,0.879585117700114,NA
"MIR4440",0.26140115452792,0.0374569862583507,1.85666231890992,0.0201743665915202,0.983904276220245,NA
"LINC01937",0.38280660803838,1.23291365902491,1.41766758856916,0.869677538631805,0.38447665047143,NA
"LOC105373963",0.236652177486019,0.325992657178608,2.19650253697901,0.148414423243492,0.882015718024406,NA
"RNU6-234P",0.0439398884566433,0.0374491652052104,3.02618800583873,0.0123750292886483,0.990126407200969,NA
"TARDBPP3",0.200157679141918,-0.535004104863852,1.95698253081677,-0.273382156682084,0.784559467459601,NA
"SCLY",0.857800064222969,-0.931887290124312,1.08259494263881,-0.860790359737736,0.389353515450575,NA
"LOC124908001",0.192393408870445,0.624806372828933,2.33129327560634,0.268008482401867,0.78869278950248,NA
"LOC105373960",0.763587621642438,0.314898085249209,1.65269785272757,0.190535786519907,0.848889303204395,NA
"LOC124900521",0.0525182765297898,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"RNU6-1140P",0.125468486889545,-0.539620923906105,3.02618800583873,-0.178317051969329,0.858473987886609,NA
"MIR6811",0.314202535715295,-1.62472530980164,2.17380035228043,-0.747412386835442,0.454814670612253,NA
"LOC107986002",0.0741116480647021,0.903056941282907,3.02618800583873,0.298414024356897,0.765387186525784,NA
"LOC105373948",0.245377762087842,-0.246521330546433,1.91221709820319,-0.128919112154199,0.897421653555947,NA
"LOC105373947",0.15526254958968,0.32598553096623,3.02618800583873,0.107721506508278,0.91421660905544,NA
"LOC105373946",0.0824868478179379,0.903056941282907,3.02618800583873,0.298414024356897,0.765387186525784,NA
"LOC107986001",0.0454310237855869,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"RNU1-31P",0.227461099474698,0.325992542496227,2.21590371925532,0.147114939906225,0.883041297844268,NA
"RNU7-127P",0.150070625713163,0.32598728710247,2.97206289533547,0.109683845390383,0.912660112618206,NA
"LOC105373941",0.267107480302462,1.75361666229074,2.15995704220395,0.81187571235278,0.416862952129997,NA
"LOC105373940",0.216191579734188,1.20796926382507,3.02506026827297,0.39932072643125,0.689656897061751,NA
"LOC124907998",0,NA,NA,NA,NA,NA
"CEP19P1",0,NA,NA,NA,NA,NA
"LOC105373937",0,NA,NA,NA,NA,NA
"HSPA8P10",0.0595513112669448,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"LINC01173",0.0595513112669448,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"HSPE1P9",0.867670231865481,-0.768114479286483,1.34265913704666,-0.57208449865842,0.567264730349482,NA
"RPS20P12",0.18594433241037,0.037450486410572,3.02618800583873,0.0123754658792894,0.99012605887871,NA
"LOC105373933",0.378830517571177,-0.501752237516242,1.44427026687481,-0.347408825774666,0.728284203769732,NA
"LOC105373932",0,NA,NA,NA,NA,NA
"SPP2",0.613667328982773,2.38576953591556,2.07103223498576,1.15197122266518,0.249332898865257,NA
"UGT1A1",0,NA,NA,NA,NA,NA
"LOC100286922",0.0443338038639876,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"UGT1A2P",0,NA,NA,NA,NA,NA
"DNAJB3",0.0412372002280992,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"UGT1A3",0,NA,NA,NA,NA,NA
"RPL17P11",0.179135755701837,0.903056941282908,3.02618800583873,0.298414024356897,0.765387186525783,NA
"UGT1A4",0,NA,NA,NA,NA,NA
"UGT1A5",0,NA,NA,NA,NA,NA
"UGT1A6",0,NA,NA,NA,NA,NA
"UGT1A7",0,NA,NA,NA,NA,NA
"UGT1A9",0,NA,NA,NA,NA,NA
"UGT1A13P",0,NA,NA,NA,NA,NA
"UGT1A10",0,NA,NA,NA,NA,NA
"UGT1A8",0,NA,NA,NA,NA,NA
"UGT1A11P",0,NA,NA,NA,NA,NA
"UGT1A12P",0,NA,NA,NA,NA,NA
"NEU2",0.0454310237855869,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"LOC101928881",0.0948408235061899,0.903056941282908,3.02618800583873,0.298414024356897,0.765387186525784,NA
"MIR5001",0,NA,NA,NA,NA,NA
"PRSS56",0.645284089502026,1.16979797992677,1.67309342123186,0.699182702580633,0.484437859089492,NA
"LOC124906124",0.123449164220004,0.61452189672725,3.02618800583873,0.203067983727908,0.839081895629316,NA
"ALPI",0.404781657287044,1.68664657584371,2.0994612921935,0.803371122923404,0.421760260576966,NA
"ECEL1P1",0.355110083725757,-0.260946288954252,2.10125964467104,-0.124185647221671,0.901168286123368,NA
"ALPG",0.514981001579654,1.0899809499414,1.82650237200023,0.596758573462869,0.550668579899268,NA
"ECEL1P2",0.0446861936231656,0.0374491652052104,3.02618800583873,0.0123750292886483,0.990126407200969,NA
"ECEL1P3",0.435512847883646,0.0487656033823839,2.06703532624617,0.023592051264525,0.981178012560172,NA
"MIR562",0.377732708683041,0.364009798881614,1.44067774941548,0.252665663108425,0.800526583946096,NA
"MIR1471",0.0972767246823949,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"GAMTP1",0.93844553022783,-0.690330105824538,1.22189905831032,-0.564964921717141,0.572097623818651,NA
"RNU6-840P",0.823845516284163,0.0237464549323139,1.01073485042511,0.0234942476974314,0.981256026892433,NA
"MIR1244-1",0,NA,NA,NA,NA,NA
"RN7SL499P",0.494649747804379,0.657864840199282,1.56734846448085,0.419731064985083,0.674681928634731,NA
"RPL23AP26",0.285805194691744,0.0330628614044957,1.88808397171955,0.0175113299512755,0.986028694238815,NA
"LOC105376787",0.707939851138986,1.13078195989879,1.44583491428019,0.782096177599744,0.434158052971006,NA
